2020/08/05 05:22:20 [error] 30#30: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.24.0.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "127.0.0.1:8000"
2020/08/05 05:22:20 [error] 30#30: *1 open() "/var/lib/nginx/html/50x.html" failed (2: No such file or directory), client: 172.24.0.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "127.0.0.1:8000"
2020/08/05 05:32:54 [error] 28#28: *2 open() "/var/www/index.php1" failed (2: No such file or directory), client: 172.24.0.1, server: localhost, request: "GET /index.php1 HTTP/1.1", host: "127.0.0.1:8000"
2020/08/05 05:34:06 [error] 22#22: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.24.0.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://172.24.0.2:9000", host: "127.0.0.1:8000"
2020/08/05 05:34:12 [error] 22#22: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.24.0.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://172.24.0.2:9000", host: "127.0.0.1:8000"
2020/08/05 05:48:43 [error] 28#28: *1 open() "/var/www/frontend/index.php" failed (2: No such file or directory), client: 172.24.0.1, server: frontend, request: "GET /index.php HTTP/1.1", host: "127.0.0.1:8000"
2020/08/05 05:48:49 [error] 29#29: *3 "/var/www/backend/index.php" is not found (2: No such file or directory), client: 172.24.0.1, server: backend, request: "GET / HTTP/1.1", host: "127.0.0.1:8001"
2020/08/05 05:48:49 [error] 29#29: *3 open() "/var/www/backend/favicon.ico" failed (2: No such file or directory), client: 172.24.0.1, server: backend, request: "GET /favicon.ico HTTP/1.1", host: "127.0.0.1:8001", referrer: "http://127.0.0.1:8001/"
2020/08/05 05:49:10 [error] 29#29: *3 "/var/www/backend/index.php" is not found (2: No such file or directory), client: 172.24.0.1, server: backend, request: "GET / HTTP/1.1", host: "127.0.0.1:8001"
2020/08/05 05:51:07 [error] 29#29: *3 "/var/www/backend/index.php" is not found (2: No such file or directory), client: 172.24.0.1, server: backend, request: "GET / HTTP/1.1", host: "127.0.0.1:8001"
2020/08/06 02:57:00 [error] 28#28: *246 open() "/var/www/frontend/js/popper.min.js.map" failed (2: No such file or directory), client: 172.27.0.1, server: frontend, request: "GET /js/popper.min.js.map HTTP/1.1", host: "127.0.0.1:8000"
2020/08/06 02:57:00 [error] 28#28: *252 open() "/var/www/frontend/js/bootstrap.min.js.map" failed (2: No such file or directory), client: 172.27.0.1, server: frontend, request: "GET /js/bootstrap.min.js.map HTTP/1.1", host: "127.0.0.1:8000"
2020/08/06 02:57:00 [error] 28#28: *252 open() "/var/www/frontend/css/bootstrap.min.css.map" failed (2: No such file or directory), client: 172.27.0.1, server: frontend, request: "GET /css/bootstrap.min.css.map HTTP/1.1", host: "127.0.0.1:8000"
2020/08/06 03:49:19 [error] 28#28: *253 open() "/var/www/frontend/js/popper.min.js.map" failed (2: No such file or directory), client: 172.27.0.1, server: frontend, request: "GET /js/popper.min.js.map HTTP/1.1", host: "127.0.0.1:8000"
2020/08/06 03:49:19 [error] 29#29: *254 open() "/var/www/frontend/js/bootstrap.min.js.map" failed (2: No such file or directory), client: 172.27.0.1, server: frontend, request: "GET /js/bootstrap.min.js.map HTTP/1.1", host: "127.0.0.1:8000"
2020/08/06 03:49:19 [error] 29#29: *254 open() "/var/www/frontend/css/bootstrap.min.css.map" failed (2: No such file or directory), client: 172.27.0.1, server: frontend, request: "GET /css/bootstrap.min.css.map HTTP/1.1", host: "127.0.0.1:8000"
2020/08/06 04:49:15 [error] 28#28: *274 open() "/var/www/frontend/js/popper.min.js.map" failed (2: No such file or directory), client: 172.27.0.1, server: frontend, request: "GET /js/popper.min.js.map HTTP/1.1", host: "127.0.0.1:8000"
2020/08/06 04:49:15 [error] 28#28: *278 open() "/var/www/frontend/js/bootstrap.min.js.map" failed (2: No such file or directory), client: 172.27.0.1, server: frontend, request: "GET /js/bootstrap.min.js.map HTTP/1.1", host: "127.0.0.1:8000"
2020/08/06 04:49:15 [error] 28#28: *278 open() "/var/www/frontend/css/bootstrap.min.css.map" failed (2: No such file or directory), client: 172.27.0.1, server: frontend, request: "GET /css/bootstrap.min.css.map HTTP/1.1", host: "127.0.0.1:8000"
2020/08/06 04:49:34 [error] 28#28: *278 open() "/var/www/frontend/css/bootstrap.min.css.map" failed (2: No such file or directory), client: 172.27.0.1, server: frontend, request: "GET /css/bootstrap.min.css.map HTTP/1.1", host: "127.0.0.1:8000"
2020/08/06 04:49:34 [error] 28#28: *278 open() "/var/www/frontend/js/popper.min.js.map" failed (2: No such file or directory), client: 172.27.0.1, server: frontend, request: "GET /js/popper.min.js.map HTTP/1.1", host: "127.0.0.1:8000"
2020/08/06 04:49:34 [error] 28#28: *274 open() "/var/www/frontend/js/bootstrap.min.js.map" failed (2: No such file or directory), client: 172.27.0.1, server: frontend, request: "GET /js/bootstrap.min.js.map HTTP/1.1", host: "127.0.0.1:8000"
2020/08/06 04:53:06 [error] 28#28: *274 open() "/var/www/frontend/css/bootstrap.min.css.map" failed (2: No such file or directory), client: 172.27.0.1, server: frontend, request: "GET /css/bootstrap.min.css.map HTTP/1.1", host: "127.0.0.1:8000"
2020/08/06 04:53:06 [error] 28#28: *274 open() "/var/www/frontend/js/popper.min.js.map" failed (2: No such file or directory), client: 172.27.0.1, server: frontend, request: "GET /js/popper.min.js.map HTTP/1.1", host: "127.0.0.1:8000"
2020/08/06 04:53:06 [error] 28#28: *274 open() "/var/www/frontend/js/bootstrap.min.js.map" failed (2: No such file or directory), client: 172.27.0.1, server: frontend, request: "GET /js/bootstrap.min.js.map HTTP/1.1", host: "127.0.0.1:8000"
2020/08/06 04:56:07 [error] 28#28: *274 open() "/var/www/frontend/js/popper.min.js.map" failed (2: No such file or directory), client: 172.27.0.1, server: frontend, request: "GET /js/popper.min.js.map HTTP/1.1", host: "127.0.0.1:8000"
2020/08/06 04:56:07 [error] 28#28: *278 open() "/var/www/frontend/js/bootstrap.min.js.map" failed (2: No such file or directory), client: 172.27.0.1, server: frontend, request: "GET /js/bootstrap.min.js.map HTTP/1.1", host: "127.0.0.1:8000"
2020/08/06 04:56:07 [error] 28#28: *278 open() "/var/www/frontend/css/bootstrap.min.css.map" failed (2: No such file or directory), client: 172.27.0.1, server: frontend, request: "GET /css/bootstrap.min.css.map HTTP/1.1", host: "127.0.0.1:8000"
